ITINERARI,SECCIO,LENGTH,SOURCETHM,X_MID,Y_MID,X_BEG,Y_BEG,Y_END,X_END,BUFF_DIST,ORIG_FID,_count,_sum,_mean
"10","3",494.14654239000,Itineraris.shp,304072.94562999997,4508201.82928000018,304316.85700000002,4508162.42819999997,4508289.42850000039,303842.72269999998,500.00000000000,"56",12788.000000000000000,5214.366207817103714,0.407754629951291
"10","4",497.16410795100,Itineraris.shp,303618.46833200002,4508396.68061000016,303842.72269999998,4508289.42850000039,4508537.07899999991,303415.15519999998,500.00000000000,"57",12820.000000000000000,4789.342536116483643,0.373583661163532
"10","5",527.00902393300,Itineraris.shp,303267.76547699998,4508727.50095000025,303429.97190000000,4508520.14560000040,4508947.71310000028,303123.05459999997,500.00000000000,"58",13112.000000000000000,4540.965805129148066,0.346321370128825
"10","6",502.02164900500,Itineraris.shp,302957.26282200002,4509136.07780000009,303123.05459999997,4508947.71310000028,4509284.26379999984,302754.75390000001,500.00000000000,"59",12876.000000000000000,5057.193335545250193,0.392761209657133
"11","1",532.23440535100,Itineraris.shp,436621.35354899999,4593230.72059999965,436497.43689999997,4593005.00329999998,4593038.87000000011,436762.02069999999,500.00000000000,"60",12090.000000000000000,95450.640235818922520,7.895007463674022
"11","2",531.81967624200,Itineraris.shp,436901.02886600001,4593224.36909999978,436762.02069999999,4593038.87000000011,4593330.97059999965,436965.22110000002,500.00000000000,"61",11998.000000000000000,98431.534540839478723,8.203995210938448
"11","3",538.44712429300,Itineraris.shp,437153.98735900002,4593239.49672999978,436965.22110000002,4593330.97059999965,4593341.55399999954,437327.17190000002,500.00000000000,"62",12441.000000000000000,113096.003780484199524,9.090587877219210
"11","4",520.12425295300,Itineraris.shp,437414.17868999997,4593575.05771000031,437327.17190000002,4593341.55399999954,4593767.00480000023,437507.08889999997,500.00000000000,"63",12772.000000000000000,117829.024108439683914,9.225573450394588
"11","5",475.65661904600,Itineraris.shp,437712.77539999998,4593884.15907999966,437507.08889999997,4593767.00480000023,4593917.28849999979,437885.97300000000,500.00000000000,"64",12175.000000000000000,107787.681192904710770,8.853197633914144
"11","6",525.05715928700,Itineraris.shp,438011.27427599998,4594139.51095999964,437885.97300000000,4593917.28849999979,4594336.38929999992,438144.20679999999,500.00000000000,"65",12977.000000000000000,111566.139862567186356,8.597221226983677
"13","1",527.19105517900,Itineraris.shp,454214.20024199999,4608184.33753000014,453967.79999999999,4608266.07149999961,4608067.10439999960,454353.03409999999,500.00000000000,"66",12620.000000000000000,65365.814816340804100,5.179541586080888
"13","2",517.94796627100,Itineraris.shp,454575.73452900001,4608087.90981999971,454353.03409999999,4608067.10439999960,4608130.60460000020,454746.73489999998,500.00000000000,"67",12457.000000000000000,73743.641929388046265,5.919855657813924
"13","3",529.50038071600,Itineraris.shp,454977.08661900001,4608052.28770000022,454746.73489999998,4608130.60460000020,4608026.88769999985,455206.05249999999,500.00000000000,"68",12704.000000000000000,88563.951638460159302,6.971343800256626
"13","4",503.92730897400,Itineraris.shp,455433.96720800002,4608110.58253000025,455206.05249999999,4608026.88769999985,4608211.03799999971,455470.63640000002,500.00000000000,"69",11629.000000000000000,89123.823915481567383,7.663928447457354
